category,batch,key,tests,pairedCompleted,baselineStatus,baselineReason,fspecStatus,fspecReason,baselineTotalRuntimeMs,fspecTotalRuntimeMs,baselineProjectedCG,fspecProjectedCG
ldapi,26,ldapi-b0026-b219ec115b,BenchmarkTest02306;BenchmarkTest02376,True,completed,,completed,,44235,93903,38211,34661
ldapi,27,ldapi-b0027-a5d55f18d4,BenchmarkTest02384;BenchmarkTest02472,False,completed,,excluded,flowdroid-oom+termination-2,132334,783287,38399,34848
ldapi,28,ldapi-b0028-2b56c39113,BenchmarkTest02553;BenchmarkTest02571,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,6560983,4050967,38230,34667
ldapi,29,ldapi-b0029-3894e3ead8,BenchmarkTest02572,True,completed,,completed,,49777,87946,38193,34630
pathtraver,0,pathtraver-b0000-604491aa93,BenchmarkTest00001;BenchmarkTest00002,True,completed,,completed,,52320,91151,37501,34083
pathtraver,1,pathtraver-b0001-083977b533,BenchmarkTest00011;BenchmarkTest00028,True,completed,,completed,,45810,74896,37468,34052
pathtraver,2,pathtraver-b0002-9e420972b8,BenchmarkTest00040;BenchmarkTest00045,True,completed,,completed,,49223,90124,37447,34044
pathtraver,3,pathtraver-b0003-12f13fe32b,BenchmarkTest00060;BenchmarkTest00061,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,716635,943111,37660,34243
pathtraver,4,pathtraver-b0004-cbf3114b95,BenchmarkTest00062;BenchmarkTest00063,False,excluded,flowdroid-oom+termination-2,missing,process-timeout,4165358,0,37530,0
pathtraver,5,pathtraver-b0005-02ae0fc23d,BenchmarkTest00064;BenchmarkTest00065,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,751308,1018854,37721,34302
pathtraver,6,pathtraver-b0006-2bc6bc6146,BenchmarkTest00131;BenchmarkTest00132,True,completed,,completed,,54560,90913,37495,34077
pathtraver,7,pathtraver-b0007-304d7a33ca,BenchmarkTest00133;BenchmarkTest00134,False,excluded,flowdroid-oom+termination-2,completed,,652058,96035,37500,34084
pathtraver,8,pathtraver-b0008-b6d5951996,BenchmarkTest00135;BenchmarkTest00136,True,completed,,completed,,48742,87908,37494,34078
pathtraver,9,pathtraver-b0009-0ec1d7b179,BenchmarkTest00137;BenchmarkTest00215,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,587116,640707,37518,34100
pathtraver,10,pathtraver-b0010-3186bc865e,BenchmarkTest00216;BenchmarkTest00217,True,completed,,completed,,42104,101921,37666,34262
pathtraver,11,pathtraver-b0011-a8b347676c,BenchmarkTest00218;BenchmarkTest00219,True,completed,,completed,,53725,90421,37477,34072
pathtraver,12,pathtraver-b0012-be8520a650,BenchmarkTest00220;BenchmarkTest00221,True,completed,,completed,,50751,83470,37688,34284
pathtraver,13,pathtraver-b0013-b5b959254a,BenchmarkTest00222;BenchmarkTest00261,True,completed,,completed,,46259,82791,37714,34297
pathtraver,14,pathtraver-b0014-031d8d3ad8,BenchmarkTest00262;BenchmarkTest00263,True,completed,,completed,,46461,83145,37495,34077
pathtraver,15,pathtraver-b0015-76d703e91f,BenchmarkTest00264;BenchmarkTest00265,True,completed,,completed,,52878,85131,37511,34093
pathtraver,16,pathtraver-b0016-8b32d6039d,BenchmarkTest00359;BenchmarkTest00360,False,excluded,flowdroid-oom+termination-2,completed,,794725,210162,37659,34253
pathtraver,17,pathtraver-b0017-a810d65f5f,BenchmarkTest00361;BenchmarkTest00362,True,completed,,completed,,48417,96703,37447,34044
pathtraver,18,pathtraver-b0018-d3ef27ab04,BenchmarkTest00363;BenchmarkTest00364,False,excluded,flowdroid-oom+termination-2,completed,,497230,80403,37462,34059
pathtraver,19,pathtraver-b0019-2ab0142498,BenchmarkTest00365;BenchmarkTest00366,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,576870,641670,37512,34105
pathtraver,20,pathtraver-b0020-b9290a2d40,BenchmarkTest00452;BenchmarkTest00453,True,completed,,completed,,42570,80994,37645,34241
pathtraver,21,pathtraver-b0021-63a74de446,BenchmarkTest00454;BenchmarkTest00455,True,completed,,completed,,41935,78462,37673,34267
pathtraver,22,pathtraver-b0022-11c9c5a44f,BenchmarkTest00456;BenchmarkTest00457,True,completed,,completed,,48105,87078,37457,34054
